date,confirmed_cases,deaths
2020-01-22,1,0
2020-01-23,1,0
2020-01-24,2,0
2020-01-25,2,0
2020-01-26,5,0
2020-01-27,6,0
2020-01-28,6,0
2020-01-29,7,0
2020-01-30,7,0
2020-01-31,8,0
2020-02-01,9,0
2020-02-02,9,0
2020-02-03,11,0
2020-02-04,11,0
2020-02-05,11,0
2020-02-06,11,1
2020-02-07,11,1
2020-02-08,11,1
2020-02-09,11,1
2020-02-10,11,1
2020-02-11,12,1
2020-02-12,12,1
2020-02-13,13,1
2020-02-14,13,1
2020-02-15,13,1
2020-02-16,13,1
2020-02-17,13,2
2020-02-18,14,2
2020-02-19,14,2
2020-02-20,14,2
2020-02-21,17,2
2020-02-22,17,2
2020-02-23,17,2
2020-02-24,18,2
2020-02-25,18,2
2020-02-26,20,2
2020-02-27,21,2
2020-02-28,23,2
2020-02-29,34,3
2020-03-01,40,3
2020-03-02,62,8
2020-03-03,81,9
2020-03-04,116,13
2020-03-05,182,14
2020-03-06,231,19
2020-03-07,355,22
2020-03-08,471,25
2020-03-09,730,31
2020-03-10,1005,34
2020-03-11,1234,40
2020-03-12,1621,44
2020-03-13,2150,51
2020-03-14,2883,60
2020-03-15,3449,67
2020-03-16,4358,92
2020-03-17,6133,105
2020-03-18,8888,136
2020-03-19,13752,176
2020-03-20,18638,214
2020-03-21,25790,267
2020-03-22,32925,374
2020-03-23,42732,513
2020-03-24,52665,704
2020-03-25,66854,951
2020-03-26,82978,1206
2020-03-27,99421,1565
2020-03-28,119065,2083
2020-03-29,136732,2350
2020-03-30,157656,2798
2020-03-31,180943,3520
2020-04-01,205529,4494
2020-04-02,233841,5415
2020-04-03,269391,6441
2020-04-04,302647,7761
2020-04-05,328343,9196
2020-04-06,358260,10441
2020-04-07,389943,12414
2020-04-08,422955,14332
2020-04-09,456528,16122
2020-04-10,489954,18395
2020-04-11,520551,20099
2020-04-12,547386,21677
2020-04-13,572019,22246
2020-04-14,597897,26774
2020-04-15,628173,29152
2020-04-16,660757,31383
2020-04-17,691669,33225
2020-04-18,719345,34854
2020-04-19,744934,37368
2020-04-20,771292,39147
2020-04-21,796546,41830
2020-04-22,825152,43849
2020-04-23,856451,45695
2020-04-24,893707,48481
2020-04-25,927339,50582
2020-04-26,952619,51752
2020-04-27,975482,53120
2020-04-28,999709,55270
2020-04-29,1027584,58228
2020-04-30,1056479,60356
2020-05-01,1089920,62202
2020-05-02,1119519,63967
2020-05-03,1144082,65196
2020-05-04,1165932,66172
2020-05-05,1189359,68650
2020-05-06,1213640,71418
2020-05-07,1240861,73516
2020-05-08,1267895,75248
2020-05-09,1293289,76845
2020-05-10,1312658,77810
2020-05-11,1331877,78797
2020-05-12,1353165,80434
2020-05-13,1374193,82211
2020-05-14,1400617,84069
2020-05-15,1425252,85598
2020-05-16,1449373,86882
2020-05-17,1467293,87704
2020-05-18,1488226,88731
2020-05-19,1508825,90235
2020-05-20,1531368,91816
2020-05-21,1556910,93138
2020-05-22,1580509,94478
2020-05-23,1602345,95591
2020-05-24,1622633,96218
2020-05-25,1642097,96840
2020-05-26,1659929,97500
2020-05-27,1678387,98857
2020-05-28,1700838,100041
2020-05-29,1725655,101360
2020-05-30,1748170,102203
2020-05-31,1767631,102792
2020-06-01,1788912,103491
2020-06-02,1808245,104763
2020-06-03,1827878,105748
2020-06-04,1849689,106735
2020-06-05,1877767,107839
2020-06-06,1900668,108633
2020-06-07,1918554,109052
2020-06-08,1936311,109600
2020-06-09,1954857,110549
2020-06-10,1975321,111459
2020-06-11,1997585,112353
2020-06-12,2023220,113114
2020-06-13,2048355,113845
2020-06-14,2068436,114172
2020-06-15,2087159,114581
2020-06-16,2112207,115332
2020-06-17,2136347,116111
2020-06-18,2163652,116878
2020-06-19,2194844,117672
2020-06-20,2225337,118234
2020-06-21,2252411,118502
2020-06-22,2282246,118853
2020-06-23,2317260,119673
2020-06-24,2352485,120421
2020-06-25,2390985,121035
2020-06-26,2436866,121662
2020-06-27,2478508,124049
2020-06-28,2516706,124304
2020-06-29,2555414,124632
2020-06-30,2602703,125935
2020-07-01,2651654,126625
2020-07-02,2706019,127331
2020-07-03,2760174,127886
2020-07-04,2805193,128147
2020-07-05,2846324,128373
2020-07-06,2899823,128750
2020-07-07,2955135,129937
2020-07-08,3012133,130789
2020-07-09,3073436,131763
2020-07-10,3142600,132590
2020-07-11,3202233,133266
2020-07-12,3258972,133692
2020-07-13,3314138,134029
2020-07-14,3381079,134908
2020-07-15,3446080,135857
2020-07-16,3526176,136778
2020-07-17,3593719,137635
2020-07-18,3659164,138566
2020-07-19,3718920,138994
2020-07-20,3777443,139431
2020-07-21,3844086,140518
2020-07-22,3911213,141665
2020-07-23,3979690,142773
